source_edge	paths	contribution
Compound—causes—Infestation NOS	161	0.0053029
Compound—causes—Infestation	161	0.0053029
Compound—binds—GRIA3	196	0.0052545
Compound—causes—Neuropathy peripheral	212	0.0052491
Compound—causes—Hepatic insufficiency	4	0.005248
Compound—causes—Conjunctivitis	287	0.0052464
Compound—causes—Aggressive reaction	43	0.0052357
Compound—causes—Alertness decreased	8	0.005199
Compound—causes—Albuminuria	88	0.005186
Compound—binds—KCNH3	92	0.0051419
Compound—causes—Myasthenia	104	0.0051219
Compound—causes—Appetite absent	24	0.0050422
Compound—causes—Nasopharyngitis	136	0.0050027
Compound—binds—KCNA4	92	0.0049829
Compound—causes—Cardiac failure	177	0.0049741
Compound—binds—KCNA6	89	0.0049399
Compound—causes—Face oedema	217	0.0049299
Compound—causes—Photosensitivity	80	0.0049248
Compound—binds—SLC31A1	71	0.0049224
Compound—binds—GRIK4	139	0.0048962
Compound—causes—Folate deficiency	12	0.004893
Compound—binds—PSMB8	383	0.0048798
Compound—causes—Injection site reaction	70	0.0048552
Compound—binds—KCNA3	119	0.0048528
Compound—causes—Emotional distress	24	0.0048451
Compound—causes—Thirst	181	0.0048382
Compound—causes—Calculus of kidney	52	0.0048113
Compound—causes—Nocturia	105	0.0047923
Compound—binds—OPRK1	824	0.0047791
Compound—causes—Rash pustular	104	0.0047656
Compound—binds—GRIK3	143	0.0047612
Compound—causes—Oedema peripheral	254	0.0047474
Compound—causes—Rash maculo-papular	151	0.0047422
Compound—binds—KCNF1	93	0.0047391
Compound—binds—KCNE1	3	0.004738
Compound—causes—Accommodation disorder	78	0.0047346
Compound—causes—Tingling of extremity	10	0.004697
Compound—binds—KCND1	90	0.0046929
Compound—binds—KCNH8	91	0.0046739
Compound—causes—Thrombophlebitis	170	0.0046738
Compound—causes—Flatulence	288	0.0046735
Compound—causes—Clonic movements	1	0.00467
Compound—causes—Cough increased	117	0.0046663
Compound—causes—Hysteria	21	0.0046593
Compound—causes—Petechiae	84	0.0046495
Compound—causes—Gynaecomastia	119	0.0046444
Compound—causes—Vaginal haemorrhage	78	0.0046214
Compound—causes—Vascular purpura	127	0.0045898
Compound—causes—Emotional disorder	9	0.004586
Compound—causes—Dependence	42	0.0045474
Compound—causes—Choreoathetosis	35	0.004528
Compound—causes—Stomatitis	207	0.0045243
Compound—causes—Sensory loss	61	0.004524
Compound—causes—Neutropenia	130	0.0045074
Compound—causes—Cerebellar syndrome	42	0.0044821
Compound—causes—Urinary tract disorder	198	0.0044768
Compound—binds—KCNS1	90	0.0044529
Compound—causes—Urethral disorder	198	0.0044436
Compound—causes—Ecchymosis	135	0.0044121
Compound—causes—Cramps of lower extremities	170	0.0044102
Compound—causes—Tongue oedema	66	0.0043818
Compound—causes—Scotoma	131	0.0043797
Compound—binds—KCNA5	91	0.0043236
Compound—causes—Tongue disorder	91	0.004323
Compound—causes—Hypomania	37	0.004293
Compound—causes—Airway obstruction NOS	8	0.004284
Compound—binds—KCNB2	87	0.0042509
Compound—binds—KCNG4	87	0.0042509
Compound—binds—KCNH4	87	0.0042509
Compound—binds—CACNB2	290	0.0042019
Compound—binds—CALM1	929	0.0041909
Compound—binds—KCNH5	87	0.0041599
Compound—causes—Leukocytosis	105	0.0041593
Compound—causes—Ventricular extrasystoles	78	0.0041352
Compound—causes—Withdrawal seizures	9	0.004134
Compound—causes—Drug withdrawal convulsions	9	0.004134
Compound—causes—Gingival hyperplasia	42	0.0041158
Compound—causes—Paranoia	78	0.0041088
Compound—binds—KCNS2	87	0.0040899
Compound—causes—Emotional disturbance NOS	4	0.004089
Compound—binds—ALPL	51	0.0040506
Compound—causes—Dysmenorrhoea	136	0.0040468
Compound—binds—KCNG1	88	0.0040409
Compound—causes—Paralysis	96	0.0040102
Compound—causes—Paranoid reaction	49	0.00401
Compound—binds—ABCC1	331	0.004005
Compound—binds—SLC22A3	266	0.003996
Compound—binds—KCNV2	87	0.0039919
Compound—binds—ADRB1	714	0.0039795
Compound—binds—ADRA2C	992	0.0039739
Compound—binds—KCNG3	87	0.0039549
Compound—causes—Myopia transient	1	0.00393
Compound—binds—HDAC2	312	0.0039119
Compound—causes—Flushing	181	0.0039114
Compound—binds—CALM2	928	0.0038953
Compound—causes—Hirsutism	70	0.003854
Compound—causes—Contusion	64	0.0038499
Compound—binds—SMPD1	109	0.0038469
Compound—causes—Bladder pain	126	0.0038191
Compound—causes—Mouth ulceration	144	0.0038074
Compound—causes—Libido increased	77	0.003794
Compound—causes—Abdominal pain upper	85	0.0037696
Compound—causes—Galactorrhoea	56	0.0037642
Compound—causes—Breast disorder	129	0.003764
Compound—causes—Migraine	162	0.0037538
Compound—causes—Hyperacusis	45	0.0037439
Compound—causes—Gastritis	190	0.0037395
Compound—causes—Erythema	145	0.0037329
Compound—causes—Haemorrhage	161	0.0037315
Compound—causes—Injection site pain	65	0.0037252
Compound—causes—Manic psychosis	40	0.0037017
Compound—causes—Skin discolouration	130	0.0036984
Compound—causes—Vaginal inflammation	120	0.0036938
Compound—binds—KCNQ5	89	0.0036746
Compound—causes—Abnormal vision	137	0.0036646
Compound—causes—Hyperkalaemia	37	0.0036594
Compound—binds—KCNS3	167	0.0036576
Compound—causes—Meningitis aseptic	4	0.0036436
Compound—binds—OGDH	81	0.0036329
Compound—causes—Shivering	7	0.003608
Compound—binds—CYP11B2	103	0.0035988
Compound—binds—BCAT1	77	0.0035954
Compound—causes—Angiopathy	140	0.00357
Compound—causes—Obstructive airways disorder	10	0.003567
Compound—binds—KCNG2	164	0.0035667
Compound—causes—Abnormal dreams	106	0.0035667
Compound—binds—SLCO1B3	144	0.0035616
Compound—causes—Parosmia	72	0.0035615
Compound—causes—Drug eruption	54	0.0035009
Compound—binds—KCNA10	84	0.0034989
Compound—causes—Depressed mood	43	0.0034972
Compound—causes—Otitis media	97	0.0034928
Compound—causes—Vaginal infection	120	0.0034878
Compound—causes—Deafness	151	0.0034792
Compound—causes—Grand mal convulsion	42	0.0034551
Compound—binds—ND1	210	0.0034535
Compound—causes—Epilepsy	17	0.0034478
Compound—causes—Eye pain	137	0.0034401
Compound—causes—Haemoglobin	136	0.0034369
Compound—causes—Movement disorder	43	0.0034284
Compound—causes—Completed suicide	77	0.0034223
Compound—causes—Personality change	4	0.003353
Compound—causes—Atelectasis	20	0.0033434
Compound—causes—Myopia	10	0.00332
Compound—causes—Musculoskeletal stiffness	85	0.0032841
Compound—binds—CA10	13	0.003264
Compound—causes—Tooth disorder	81	0.0032405
Compound—causes—Rectal haemorrhage	91	0.0032301
Compound—causes—Melaena	78	0.0032004
Compound—causes—Feeling drunk	25	0.003186
Compound—binds—KCNA7	83	0.0031819
Compound—causes—Enuresis	16	0.0031463
Compound—causes—Hepatic function abnormal	65	0.0031451
Compound—binds—KCNH6	90	0.0031439
Compound—causes—Oliguria	79	0.0031415
Compound—causes—Paraesthesia oral	56	0.0031367
Compound—binds—SLC22A4	240	0.0030721
Compound—causes—Rash morbilliform	1	0.00307
Compound—causes—Suicide	60	0.0030528
Compound—binds—SLCO2A1	69	0.0030396
Compound—resembles—Benzphetamine	3	0.0030214
Compound—causes—Vesiculobullous rash	54	0.0030201
Compound—causes—Forgetfulness	7	0.0030019
Compound—causes—Ear infection	26	0.0029955
Compound—causes—Akathisia	32	0.0029908
Compound—causes—Cognitive disorder	48	0.0029902
Compound—causes—Block heart	41	0.0029444
Compound—causes—Atrial fibrillation	78	0.0029381
Compound—causes—Neuritis	44	0.0029345
Compound—causes—Oesophagitis	105	0.0029166
Compound—binds—HDAC9	202	0.0029054
Compound—causes—Anaemia macrocytic	16	0.002889
Compound—causes—Ventricular bigeminy	10	0.002889
Compound—causes—Developmental delay	21	0.0028871
Compound—causes—Congenital anomaly	21	0.0028871
Compound—causes—Menorrhagia	77	0.0028731
Compound—binds—CACNA1C	219	0.0028381
Compound—causes—Cystitis noninfective	90	0.0028335
Compound—causes—Bone disorder	40	0.0028291
Compound—causes—Cramp muscle	76	0.0028174
Compound—causes—Blood alkaline phosphatase increased	90	0.0028149
Compound—causes—Withdrawal syndrome	18	0.0028071
Compound—causes—Cystitis	90	0.002801
Compound—causes—Bundle branch block	33	0.0027977
Compound—causes—Anaphylactoid reaction	71	0.0027863
Compound—causes—Coagulopathy	71	0.0027587
Compound—binds—GSTP1	101	0.0027543
Compound—causes—Atrial arrhythmia	13	0.0027504
Compound—causes—Ileus	29	0.0027423
Compound—binds—SLCO1C1	74	0.0027302
Compound—causes—Pulmonary embolism	89	0.0027263
Compound—causes—Urine abnormality	50	0.0027241
Compound—binds—CALM3	882	0.0027202
Compound—causes—Aphasia	70	0.0027049
Compound—causes—Hemiplegia	42	0.0027009
Compound—causes—Numbness	28	0.0026931
Compound—causes—Ulcerative stomatitis	45	0.0026832
Compound—causes—Gingivitis	77	0.0026373
Compound—binds—DRD5	337	0.0026259
Compound—causes—Muscle spasticity	9	0.002603
Compound—causes—Joint swelling	40	0.0025842
Compound—binds—KCNH7	107	0.0025839
Compound—causes—Glycosuria	32	0.0025671
Compound—causes—Retrograde amnesia	3	0.002549
Compound—causes—Pneumothorax	24	0.0025362
Compound—causes—Aspartate aminotransferase increased	96	0.002523
Compound—causes—Hyperaesthesia	77	0.0025135
Compound—causes—Traumatic liver injury	6	0.0025023
Compound—causes—Distress	6	0.002484
Compound—causes—Eczema	98	0.0024756
Compound—causes—Nephrosis	12	0.0024527
Compound—causes—Faecal incontinence	54	0.0024498
Compound—causes—Phosphatase alkaline increased	65	0.0024088
Compound—causes—Ventricular tachycardia	34	0.0024046
Compound—causes—Behavior disorder	6	0.002404
Compound—causes—Myasthenic syndrome	2	0.002393
Compound—causes—Hypercapnia	2	0.002392
Compound—causes—Carbon dioxide increased	2	0.002392
Compound—causes—Viral infection	81	0.00239
Compound—causes—Atrial flutter	24	0.0023843
Compound—causes—Hypophosphataemia	35	0.0023821
Compound—causes—Ageusia	77	0.0023777
Compound—causes—Bronchospasm	66	0.0023619
Compound—binds—CYP19A1	124	0.0023537
Compound—causes—Vasculitis	45	0.002349
Compound—causes—Rhabdomyolysis	55	0.0023487
Compound—causes—Inappropriate antidiuretic hormone secretion	24	0.0023272
Compound—causes—Abdominal discomfort	71	0.0023175
Compound—resembles—Desflurane	20	0.0022986
Compound—causes—Urine analysis abnormal	48	0.0022909
Compound—resembles—Isoflurane	20	0.0022888
Compound—resembles—Zopiclone	5	0.002259
Compound—causes—Circumoral paresthesia	30	0.0022459
Compound—causes—Dermatitis contact	55	0.0022157
Compound—causes—Snoring	4	0.0022051
Compound—causes—Haematemesis	56	0.0022
Compound—causes—Disorder sight	30	0.0021617
Compound—causes—Neck stiffness	29	0.0021547
Compound—causes—Thrombocytopenic purpura	15	0.0021481
Compound—causes—Haemolytic anaemia	24	0.002127
Compound—causes—Acne	50	0.0021234
Compound—causes—Acute coronary syndrome	81	0.0021101
Compound—causes—Necrosis	24	0.002108
Compound—causes—Myocardial infarction	81	0.0020983
Compound—causes—Lightheadedness	42	0.0020957
Compound—causes—Renal pain	45	0.0020901
Compound—causes—Arthropathy	73	0.0020863
Compound—binds—NEK11	3	0.002081
Compound—resembles—Eszopiclone	4	0.002079
Compound—binds—CES1	21	0.0020753
Compound—causes—Metabolic disorder	6	0.002075
Compound—causes—Pulmonary oedema	51	0.0020696
Compound—causes—Hepatic necrosis	7	0.0020604
Compound—causes—Menstrual disorder	64	0.002059
Compound—causes—Increased bronchial secretion	16	0.0020439
Compound—causes—Brain oedema	20	0.002026
Compound—causes—Skin mass	24	0.0020129
Compound—causes—Alcohol intoxication	2	0.002001
Compound—causes—Cerebral haemorrhage	28	0.0019945
Compound—causes—Panic reaction	15	0.0019857
Compound—causes—Nuchal rigidity	29	0.0019779
Compound—binds—CACNA1S	130	0.0019745
Compound—causes—Gastric ulcer	32	0.0019718
Compound—binds—RALBP1	121	0.0019694
Compound—causes—Arrhythmia supraventricular	13	0.0019684
Compound—resembles—Methyprylon	4	0.001952
Compound—causes—Neuralgia	40	0.001951
Compound—causes—Gastroenteritis	78	0.0019414
Compound—causes—Clonus	1	0.00194
Compound—causes—Sweating increased	85	0.0019327
Compound—causes—Tubulointerstitial nephritis	21	0.0019311
Compound—causes—Panic attack	24	0.001901
Compound—causes—Hypocalcaemia	42	0.0019002
Compound—causes—Polydipsia	12	0.0018849
Compound—causes—Pharyngolaryngeal pain	17	0.0018829
Compound—causes—Respiratory insufficiency	12	0.00188
Compound—causes—Haemoptysis	45	0.0018793
Compound—causes—Thyroid function abnormal	6	0.001872
Compound—causes—Cerebrovascular accident	56	0.0018713
Compound—causes—Laryngeal pain	17	0.0018661
Compound—causes—Bone marrow depression	32	0.0018554
Compound—resembles—Paramethadione	2	0.001832
Compound—binds—CA11	12	0.0018313
Compound—causes—Upper respiratory tract infection	89	0.0018295
Compound—causes—Acidosis	35	0.0018288
Compound—causes—Otitis externa	21	0.0018264
Compound—causes—Neuroleptic malignant syndrome	16	0.0018207
Compound—causes—Glossitis	80	0.0018196
Compound—causes—Apraxia	12	0.00181
Compound—causes—Talkativeness	2	0.001809
Compound—causes—Head injury	2	0.0018
Compound—causes—Hearing impaired	55	0.0017983
Compound—causes—Hyperpyrexia	10	0.0017976
Compound—causes—Tachypnoea	7	0.001787
Compound—causes—Amenorrhoea	60	0.0017666
Compound—causes—Hypothyroidism	45	0.0017615
Compound—binds—CACNA1F	27	0.0017548
Compound—causes—Lymphocytosis	25	0.001737
Compound—binds—ADRB2	355	0.0017295
Compound—causes—Subdural haematoma	12	0.0017071
Compound—causes—Breast enlargement	33	0.0017069
Compound—causes—Ventricular fibrillation	25	0.0016991
Compound—causes—Repetitive speech	1	0.00169
Compound—binds—AOC3	7	0.001689
Compound—causes—Lassitude	6	0.0016833
Compound—causes—Pseudolymphoma	16	0.0016826
Compound—causes—Abnormal ejaculation	15	0.0016803
Compound—causes—Nasal congestion	41	0.0016799
Compound—causes—Glaucoma	36	0.0016483
Compound—causes—Hypoglycaemia	63	0.0016459
Compound—resembles—Enflurane	8	0.0016439
Compound—binds—NTRK1	276	0.0016362
Compound—causes—Extensor plantar response	6	0.001633
Compound—causes—Salivation	8	0.0016306
Compound—causes—Hypomagnesaemia	13	0.0016289
Compound—causes—Ejaculation disorder	24	0.0016226
Compound—causes—Nephritis interstitial	15	0.0016189
Compound—causes—Loss of libido	25	0.0015892
Compound—causes—Extrasystoles	22	0.0015888
Compound—binds—ACADSB	70	0.0015684
Compound—causes—Drug interaction	56	0.0015624
Compound—causes—Dry skin	70	0.0015567
Compound—causes—Altered visual depth perception	4	0.001553
Compound—causes—Renal failure acute	44	0.001545
Compound—causes—Dependence physiological	12	0.0015439
Compound—causes—Toothache	31	0.0015424
Compound—causes—Meningitis	20	0.0015396
Compound—causes—Excitability	6	0.001535
Compound—binds—AOX1	105	0.0015346
Compound—causes—Pain in extremity	56	0.0015346
Compound—causes—Drug intolerance	3	0.001534
Compound—causes—Alanine aminotransferase increased	60	0.0015254
Compound—causes—Vasodilation procedure	45	0.0015244
Compound—causes—Vasodilation	45	0.0015244
Compound—causes—Drug abuse	16	0.0015088
Compound—causes—Hypoaesthesia oral	9	0.0015071
Compound—causes—Iron deficiency anaemia	6	0.0014987
Compound—causes—Micturition urgency	35	0.0014943
Compound—causes—Colitis	50	0.0014865
Compound—binds—CA8	7	0.001475
Compound—causes—Epigastric discomfort	15	0.0014591
Compound—causes—Drooling	9	0.0014589
Compound—causes—Ear disorder	25	0.001458
Compound—causes—Sedation	4	0.001453
Compound—causes—Muscle rigidity	7	0.0014398
Compound—binds—SLC16A1	158	0.0014304
Compound—causes—Creatinine increased	29	0.0014292
Compound—causes—Cholelithiasis	32	0.0014263
Compound—causes—Phlebitis	55	0.0014162
Compound—causes—Cyanosis	30	0.0014135
Compound—causes—Upset stomach	16	0.0014027
Compound—causes—Gout	33	0.0014027
Compound—causes—Electroencephalogram abnormal	10	0.001394
Compound—causes—Arthritis	56	0.0013873
Compound—causes—Action tremor	6	0.001385
Compound—causes—Yawning	20	0.0013844
Compound—causes—Neck pain	45	0.0013754
Compound—causes—Illusion	5	0.001367
Compound—causes—Atrioventricular block complete	8	0.0013615
Compound—causes—Atrioventricular block first degree	6	0.0013589
Compound—causes—Thyroid function test abnormal	6	0.001353
Compound—resembles—Methazolamide	3	0.001351
Compound—causes—Myopathy	24	0.0013434
Compound—causes—Hepatic enzyme increased	32	0.0013305
Compound—binds—CALY	9	0.001328
Compound—causes—Alcohol poisoning	2	0.001328
Compound—causes—Blood creatinine increased	41	0.0013203
Compound—causes—Nodal arrhythmia	3	0.001315
Compound—resembles—Methohexital	24	0.0013142
Compound—causes—Chest discomfort	18	0.0013106
Compound—causes—Gastrointestinal haemorrhage	51	0.0013056
Compound—causes—Sputum increased	9	0.0013041
Compound—binds—CYP4A11	116	0.0012947
Compound—causes—Sepsis	49	0.0012909
Compound—causes—Sudden death	16	0.0012892
Compound—causes—Osteoporosis	36	0.001287
Compound—causes—Electrolyte imbalance	4	0.001286
Compound—causes—Peripheral embolism	4	0.001284
Compound—causes—Anorgasmia	9	0.0012821
Compound—causes—Hypersomnia	8	0.0012804
Compound—causes—Proctalgia	20	0.0012764
Compound—causes—Mastitis	12	0.001276
Compound—causes—Altered state of consciousness	18	0.0012671
Compound—causes—Cardiac failure congestive	45	0.0012639
Compound—causes—Gamma-glutamyltransferase increased	35	0.0012546
Compound—causes—Enteritis	15	0.0012493
Compound—causes—Rectal tenesmus	16	0.0012485
Compound—causes—Intracranial pressure increased	13	0.0012463
Compound—causes—Sexual dysfunction	28	0.0012421
Compound—causes—Ketosis	6	0.001229
Compound—causes—Hepatotoxicity	10	0.0012263
Compound—causes—Electrocardiogram abnormal	22	0.0012189
Compound—causes—Lactation female	6	0.001214
Compound—causes—Swelling	48	0.0012023
Compound—causes—Neuropathy	46	0.0011917
Compound—causes—Oversedation	1	0.00119
Compound—causes—Derealisation	4	0.001187
Compound—causes—Extrapyramidal symptoms	10	0.0011832
Compound—binds—ORM1	18	0.0011784
Compound—causes—Menstruation irregular	12	0.0011754
Compound—causes—Iritis	20	0.001174
Compound—causes—Dysphoria	12	0.0011696
Compound—causes—Nephritis	6	0.001166
Compound—causes—Endocrine disorder	36	0.0011603
Compound—causes—Seborrhoeic dermatitis	35	0.0011577
Compound—causes—Aura	6	0.001152
Compound—causes—Hypochromic anaemia	16	0.0011518
Compound—causes—Nephrotic syndrome	12	0.0011517
Compound—causes—Eructation	45	0.0011517
Compound—resembles—Bumetanide	5	0.0011509
Compound—causes—Paralysis flaccid	1	0.00115
Compound—causes—Jaundice cholestatic	12	0.0011476
Compound—causes—Breast pain	45	0.0011473
Compound—causes—Bradyphrenia	9	0.0011372
Compound—causes—Pallor	33	0.0011274
Compound—causes—Ligament sprain	9	0.0011253
Compound—binds—FMO3	108	0.0011232
Compound—causes—Visual field constriction	1	0.00112
Compound—causes—Stiffness	7	0.001114
Compound—causes—Miosis	16	0.0011088
Compound—causes—Eye movement disorder	6	0.001082
Compound—causes—Blood urea increased	25	0.0010778
Compound—binds—H1F0	47	0.0010778
Compound—causes—Breath odour	18	0.0010761
Compound—causes—Oscillopsia	2	0.001076
Compound—causes—Eruption	4	0.0010669
Compound—causes—Electrocardiogram QRS complex	5	0.001065
Compound—causes—QRS complex	5	0.001065
Compound—causes—Skin nodule	9	0.0010625
Compound—causes—Diabetic neuropathy	6	0.001057
Compound—causes—Hyperlipidaemia	29	0.0010554
Compound—causes—Major depression	8	0.0010551
Compound—causes—Ankle edema	2	0.001055
Compound—causes—Congenital genital malformation	1	0.00105
Compound—causes—Metrorrhagia	28	0.0010467
Compound—causes—Nephropathy	16	0.0010431
Compound—causes—Drug level increased	6	0.001043
Compound—causes—Influenza like illness	28	0.0010399
Compound—causes—Goitre	15	0.0010317
Compound—resembles—Halothane	12	0.0010273
Compound—causes—Blood prolactin increased	6	0.0010256
Compound—binds—ABCC4	116	0.0010223
Compound—causes—Hyperchloraemia	2	0.001018
Compound—causes—Pancreatitis acute	15	0.0010167
Compound—causes—Encephalitis	4	0.001015
Compound—causes—Hypernatraemia	15	0.0010133
Compound—causes—Blood uric acid increased	16	0.0009999
Compound—causes—Paresis	15	0.0009997
Compound—causes—Hepatosplenomegaly	2	0.000999
Compound—causes—Partial hearing loss	5	0.000987
Compound—causes—Hot flush	40	0.00098291
Compound—resembles—Ropivacaine	7	0.0009828
Compound—causes—Furunculosis	18	0.0009762
Compound—causes—Menopausal symptoms	40	0.00097443
Compound—causes—Blister	20	0.0009631
Compound—causes—Tongue coated	3	0.00096
Compound—causes—Rigors	21	0.0009558
Compound—causes—Cellulitis	27	0.0009514
Compound—causes—Dry eye	40	0.00094831
Compound—causes—Rhinorrhoea	24	0.0009474
Compound—causes—Hernia	16	0.0009431
Compound—causes—Bursitis	18	0.0009324
Compound—binds—ABCC10	45	0.00091783
Compound—resembles—Anisotropine Methylbromide	3	0.000913
Compound—causes—Psychiatric symptom	2	0.000912
Compound—causes—White blood cell count decreased	16	0.0009107
Compound—causes—Ileus paralytic	9	0.0009102
Compound—resembles—Pethidine	28	0.00090913
Compound—causes—Laryngitis	30	0.0009035
Compound—causes—Raised liver function tests	12	0.0009011
Compound—causes—Memory loss	5	0.000899
Compound—causes—Vestibular disorder	8	0.0008922
Compound—causes—Haemorrhoids	24	0.0008887
Compound—causes—Nodal tachycardia	1	0.000888
Compound—causes—Psoriasis	21	0.0008871
Compound—causes—Reflexes abnormal	2	0.000885
Compound—causes—Fluid retention	49	0.00088419
Compound—causes—Drug reaction with eosinophilia and systemic symptoms	6	0.000882
Compound—causes—Conduction disorder	4	0.000881
Compound—causes—Dysphonia	35	0.0008809
Compound—causes—Injection site haemorrhage	9	0.0008801
Compound—causes—Gastrointestinal symptom NOS	5	0.0008757
Compound—causes—Generalised oedema	30	0.0008645
Compound—causes—Skin odour abnormal	16	0.0008626
Compound—causes—Movements involuntary	3	0.000857
Compound—causes—Breast neoplasm	8	0.0008549
Compound—causes—Anorectal discomfort	16	0.0008506
Compound—causes—Melanosis	4	0.00085
Compound—causes—Abnormal faeces	12	0.0008482
Compound—causes—Dreaming excessive	2	0.000848
Compound—causes—Furuncle	18	0.0008462
Compound—causes—Tendinous contracture	4	0.00084
Compound—causes—Renal impairment	35	0.00083678
Compound—causes—Abscess periodontal	12	0.0008293
Compound—causes—Oligomenorrhoea	1	0.000829
Compound—causes—Logorrhoea	2	0.000827
Compound—causes—Herpes zoster	24	0.000827
Compound—resembles—Quinethazone	2	0.000826
Compound—causes—Oculogyric crisis	6	0.0008254
Compound—causes—Body odor	12	0.0008215
Compound—causes—Torsade de pointes	10	0.0008215
Compound—causes—Sinus bradycardia	16	0.0008189
Compound—causes—Asterixis	6	0.000817
Compound—causes—Intraocular pressure increased	10	0.0008138
Compound—causes—Difficulty focusing eyes	2	0.00081
Compound—resembles—Ibuprofen	7	0.0008081
Compound—causes—Cerebral infarction	9	0.0008072
Compound—causes—Cholestasis	6	0.0008026
Compound—causes—Dysautonomia	2	0.000801
Compound—causes—Injection site inflammation	9	0.0007998
Compound—causes—Wheezing	9	0.0007951
Compound—causes—Throat irritation	6	0.0007943
Compound—causes—Hyperplasia	6	0.0007852
Compound—causes—Calculus bladder	2	0.000785
Compound—causes—Cerebrovascular disorder	10	0.0007828
Compound—causes—Angina pectoris	44	0.00078097
Compound—causes—Urethral pain	6	0.0007753
Compound—causes—Respiratory arrest	6	0.000771
Compound—causes—Neoplasm	28	0.00076966
Compound—causes—Vaginal moniliasis	20	0.0007686
Compound—causes—Transaminases increased	12	0.000768
Compound—binds—NAT2	66	0.00076781
Compound—causes—Alcohol intolerance	16	0.0007671
Compound—causes—Foetal disorder	1	0.000766
Compound—causes—Orofacial dyskinesia	4	0.0007568
Compound—causes—Chondrodystrophy	1	0.000756
Compound—causes—Xerophthalmia	9	0.0007549
Compound—causes—Psychotic depression	4	0.000753
Compound—causes—Epididymitis	12	0.0007526
Compound—binds—UGT1A10	9	0.0007518
Compound—causes—Fungal infection	20	0.00075
Compound—causes—Distress gastrointestinal	2	0.000746
Compound—causes—Tonic-clonic seizures	2	0.000741
Compound—causes—Tongue discolouration	6	0.0007403
Compound—causes—Porphyria acute	2	0.000739
Compound—causes—Vulvovaginal candidiasis	20	0.0007376
Compound—resembles—Hexobarbital	14	0.0007306
Compound—causes—Candida infection	31	0.00072512
Compound—causes—Electrocardiogram ST segment depression	3	0.000724
Compound—causes—Convulsions aggravated	2	0.000723
Compound—causes—Cardiomegaly	9	0.0007217
Compound—causes—Lacrimal disorder	15	0.0007199
Compound—causes—Pelvic pain	20	0.0007187
Compound—causes—Cutaneous vasculitis	3	0.0007176
Compound—causes—Gastric irritation	3	0.000712
Compound—causes—Vulvovaginal mycotic infection	20	0.0007096
Compound—causes—Pyelonephritis	12	0.0007078
